Tract Number,Mean Age,Latitude,Longitude,GEOID
135116,43,34.1430395,-118.504833,1400000US06037139702
135201,38.6,34.144623,-118.5319345,1400000US06037139703
135202,39.9,34.153124,-118.5451245,1400000US06037139801
135204,41,34.1453435,-118.5545195,1400000US06037139802
135205,59.3,34.1515515,-118.4268665,1400000US06037141101
1370,47.6,34.149623,-118.4308415,1400000US06037141102
137103,42.1,34.1528925,-118.442632,1400000US06037141201
137104,45.9,34.1470205,-118.4426355,1400000US06037141202
137202,38.5,34.152885,-118.4630195,1400000US06037141302
137203,39.1,34.1550215,-118.4552015,1400000US06037141303
137301,47.2,34.151617,-118.454058,1400000US06037141304
137302,51.6,34.1568045,-118.475833,1400000US06037141400
137401,42.5,34.138146,-118.4788925,1400000US06037141500
137402,39.3,34.1376705,-118.459396,1400000US06037141600
137501,35.3,34.1379545,-118.4378355,1400000US06037141700
137502,45.1,34.1478525,-118.3563095,1400000US06037143100
137504,45.2,34.149998,-118.3710665,1400000US06037143200
1380,48.2,34.1521895,-118.386433,1400000US06037143300
139001,40.3,34.153987,-118.409486,1400000US06037143400
1392,42.3,34.146964,-118.4092995,1400000US06037143500
139301,47.3,34.1449605,-118.387713,1400000US06037143602
139302,34.8,34.1438535,-118.3703245,1400000US06037143603
139303,42.3,34.1406405,-118.369959,1400000US06037143604
139401,43.9,34.128096,-118.358231,1400000US06037143700
139402,43.8,34.1343225,-118.3793935,1400000US06037143800
139502,45.4,34.132849,-118.3947615,1400000US06037143901
139504,42.5,34.1378715,-118.418298,1400000US06037143902
139505,45.4,34.1439045,-118.204552,1400000US06037181000
139506,40.7,34.1364875,-118.2233065,1400000US06037181300
1396,45.8,34.1364725,-118.210235,1400000US06037181400
139701,45.6,34.133864,-118.1922815,1400000US06037181500
139703,46.4,34.1295685,-118.210156,1400000US06037181600
139704,46.2,34.1213355,-118.1819855,1400000US06037183101
139705,49.4,34.116165,-118.1748505,1400000US06037183103
139801,47.6,34.120221,-118.172802,1400000US06037183104
139802,48.9,34.119149,-118.1900895,1400000US06037183220
141101,33.7,34.125332,-118.1907195,1400000US06037183221
